Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country
TX0000000001,Brazil,3267530.4793768236,Offshore Transfer,2013-01-01 00:00:00,Person_1101,Construction,USA,True,Illegal,6,1,Bank_40,Singapore
TX0000000002,China,4965766.7252882905,Stocks Transfer,2013-01-01 01:00:00,Person_7484,Luxury Goods,South Africa,False,Illegal,9,0,Bank_461,Bahamas
TX0000000003,UK,94167.50048194024,Stocks Transfer,2013-01-01 02:00:00,Person_3655,Construction,Switzerland,True,Illegal,1,3,Bank_387,Switzerland
TX0000000004,UAE,386420.14124873787,Cash Withdrawal,2013-01-01 03:00:00,Person_3226,Oil & Gas,Russia,False,Illegal,7,2,Bank_353,Panama
TX0000000005,South Africa,643378.4264358788,Cryptocurrency,2013-01-01 04:00:00,Person_7975,Real Estate,USA,True,Illegal,1,9,Bank_57,Luxembourg
TX0000000006,Russia,4921056.454497007,Property Purchase,2013-01-01 05:00:00,Person_4000,Arms Trade,Brazil,False,Legal,7,3,Bank_436,Cayman Islands
TX0000000007,Switzerland,3262817.9835768617,Property Purchase,2013-01-01 06:00:00,Person_2517,Oil & Gas,Brazil,False,Legal,7,8,Bank_452,Panama
TX0000000008,UAE,4687204.610185457,Property Purchase,2013-01-01 07:00:00,Person_4310,Real Estate,UK,False,Illegal,3,5,Bank_88,Luxembourg
TX0000000009,Brazil,903905.9486100082,Cryptocurrency,2013-01-01 08:00:00,Person_8955,Arms Trade,India,False,Illegal,3,6,Bank_87,Panama
TX0000000010,China,4174994.6760292784,Offshore Transfer,2013-01-01 09:00:00,Person_9585,Arms Trade,China,False,Illegal,9,0,Bank_404,Switzerland
TX0000000011,South Africa,2675518.772876624,Offshore Transfer,2013-01-01 10:00:00,Person_3241,Casinos,South Africa,True,Legal,8,1,Bank_273,Cayman Islands
TX0000000012,Switzerland,3370300.3498583133,Stocks Transfer,2013-01-01 11:00:00,Person_9098,Arms Trade,UK,False,Legal,9,1,Bank_252,Switzerland
TX0000000013,Brazil,729587.772546365,Stocks Transfer,2013-01-01 12:00:00,Person_643,Real Estate,Brazil,False,Illegal,5,7,Bank_190,Cayman Islands
TX0000000014,South Africa,2973516.598392909,Property Purchase,2013-01-01 13:00:00,Person_3269,Real Estate,Singapore,False,Illegal,6,3,Bank_267,Luxembourg
TX0000000015,UK,3669888.1917355703,Stocks Transfer,2013-01-01 14:00:00,Person_778,Construction,China,False,Legal,1,5,Bank_164,Switzerland
TX0000000016,China,3740050.644812054,Offshore Transfer,2013-01-01 15:00:00,Person_5538,Real Estate,Brazil,True,Illegal,3,6,Bank_211,Panama
TX0000000017,Switzerland,3865495.571493546,Stocks Transfer,2013-01-01 16:00:00,Person_8463,Real Estate,South Africa,True,Illegal,6,1,Bank_311,Switzerland
TX0000000018,India,2168678.3728701635,Cash Withdrawal,2013-01-01 17:00:00,Person_5269,Oil & Gas,South Africa,False,Illegal,9,6,Bank_439,Cayman Islands
TX0000000019,South Africa,1486877.0669942861,Cryptocurrency,2013-01-01 18:00:00,Person_2149,Luxury Goods,UK,False,Illegal,5,4,Bank_50,Cayman Islands
TX0000000020,UAE,4311216.028737357,Cash Withdrawal,2013-01-01 19:00:00,Person_8310,Construction,UK,False,Legal,6,5,Bank_337,Bahamas
TX0000000021,Switzerland,4207602.797465758,Stocks Transfer,2013-01-01 20:00:00,Person_4043,Luxury Goods,UAE,False,Illegal,4,5,Bank_409,Bahamas
TX0000000022,USA,2669181.104456691,Property Purchase,2013-01-01 21:00:00,Person_6311,Oil & Gas,Singapore,True,Illegal,1,7,Bank_380,Switzerland
TX0000000023,Brazil,970553.3624485513,Offshore Transfer,2013-01-01 22:00:00,Person_9762,Luxury Goods,Switzerland,False,Legal,3,2,Bank_471,Luxembourg
TX0000000024,UK,2556050.5253292676,Cash Withdrawal,2013-01-01 23:00:00,Person_5,Casinos,Singapore,False,Illegal,8,5,Bank_490,Luxembourg
TX0000000025,USA,1001673.6060022984,Property Purchase,2013-01-02 00:00:00,Person_587,Real Estate,USA,False,Illegal,10,1,Bank_209,Luxembourg
TX0000000026,Brazil,4386548.957057511,Property Purchase,2013-01-02 01:00:00,Person_1879,Construction,UAE,False,Illegal,4,9,Bank_405,Panama
TX0000000027,UAE,870064.0870106575,Stocks Transfer,2013-01-02 02:00:00,Person_4729,Oil & Gas,Russia,False,Legal,2,8,Bank_287,Luxembourg
TX0000000028,Russia,2998826.877435446,Property Purchase,2013-01-02 03:00:00,Person_516,Real Estate,China,False,Legal,6,4,Bank_323,Luxembourg
TX0000000029,USA,3747602.560696899,Offshore Transfer,2013-01-02 04:00:00,Person_160,Luxury Goods,USA,False,Illegal,9,7,Bank_266,Singapore
TX0000000030,India,1930397.271175398,Offshore Transfer,2013-01-02 05:00:00,Person_7905,Construction,Switzerland,False,Illegal,9,9,Bank_461,Bahamas
TX0000000031,Brazil,1452528.1141470782,Property Purchase,2013-01-02 06:00:00,Person_8714,Construction,China,False,Illegal,1,8,Bank_38,Luxembourg
TX0000000032,South Africa,3292071.134376176,Offshore Transfer,2013-01-02 07:00:00,Person_5732,Arms Trade,India,False,Legal,2,3,Bank_494,Singapore
TX0000000033,UK,4291183.2300678175,Cash Withdrawal,2013-01-02 08:00:00,Person_9688,Casinos,South Africa,False,Illegal,9,7,Bank_113,Cayman Islands
TX0000000034,UAE,4862728.176042312,Cryptocurrency,2013-01-02 09:00:00,Person_9219,Luxury Goods,UAE,False,Legal,8,9,Bank_135,Bahamas
TX0000000035,Brazil,2332844.8368636505,Stocks Transfer,2013-01-02 10:00:00,Person_9853,Real Estate,Russia,False,Legal,9,8,Bank_342,Bahamas
TX0000000036,Russia,4907863.466723716,Offshore Transfer,2013-01-02 11:00:00,Person_8363,Luxury Goods,USA,True,Legal,7,9,Bank_285,Singapore
TX0000000037,China,4071726.4202766847,Stocks Transfer,2013-01-02 12:00:00,Person_4599,Construction,USA,False,Illegal,4,6,Bank_390,Singapore
TX0000000038,Switzerland,3260776.7681831745,Cryptocurrency,2013-01-02 13:00:00,Person_3680,Real Estate,Singapore,False,Legal,4,6,Bank_343,Luxembourg
TX0000000039,USA,45712.45443489974,Offshore Transfer,2013-01-02 14:00:00,Person_4804,Oil & Gas,USA,False,Illegal,1,8,Bank_118,Bahamas
TX0000000040,UK,576321.7384792406,Cryptocurrency,2013-01-02 15:00:00,Person_8600,Luxury Goods,China,False,Illegal,2,5,Bank_2,Cayman Islands
TX0000000041,South Africa,2854182.861679877,Cash Withdrawal,2013-01-02 16:00:00,Person_6246,Construction,China,False,Illegal,5,7,Bank_296,Switzerland
TX0000000042,India,3746204.255037936,Cash Withdrawal,2013-01-02 17:00:00,Person_2936,Arms Trade,China,False,Illegal,7,2,Bank_433,Singapore
TX0000000043,UK,292201.8750974349,Cash Withdrawal,2013-01-02 18:00:00,Person_4033,Real Estate,UK,False,Illegal,10,1,Bank_45,Switzerland
